,RANK,PLAYER,YEAR,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
26,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌
27,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,3,.365,.512,.665,1.177
28,28,HackWilson,CF,1930,CHC,155,585,146,208,35,6,56,191,105,84,3,--,.356,.454,.723,1.177
29,30,SammySosa,RF,2001,CHC,160,577,146,189,34,5,64,160,116,153,0,2,.328,.437,.737,1.174
30,30,LouGehrig,1B,1936,NYY,155,579,167,205,37,7,49,152,130,46,3,4,.354,.478,.696,1.174
31,32,LarryWalker,RF,1997,COL,153,568,143,208,46,4,49,130,78,90,33,8,.366,.452,.720,1.172
32,32,BabeRuth,RF,1928,NYY,154,536,163,173,29,8,54,142,137,87,4,5,.323,.463,.709,1.172
33,34,LouGehrig,1B,1934,NYY,154,579,128,210,40,6,49,165,109,31,9,5,.363,.465,.706,1.171
34,35,MickeyMantle,CF,1956,NYY,150,533,132,188,22,5,52,130,112,99,10,1,.353,.464,.705,1.169
35,36,LarryWalker,RF,1999,COL,127,438,108,166,26,4,37,115,57,52,11,4,.379,.458,.710,1.168
36,37,JimmieFoxx,1B,1938,BOS,149,565,139,197,33,9,50,175,119,76,5,4,.349,.462,.704,1.166
37,38,TedWilliams,LF,1946,BOS,150,514,142,176,37,8,38,123,156,44,0,0,.342,.497,.667,1.164
38,39,ToddHelton,1B,2000,COL,160,580,138,216,59,2,42,147,103,61,5,3,.372,.463,.698,1.161
39,40,JimmieFoxx,1B,1939,BOS,124,467,130,168,31,10,35,105,89,72,4,3,.360,.464,.694,1.158
40,41,MannyRamirez,RF,2000,CLE,118,439,92,154,34,2,38,122,86,117,1,1,.351,.457,.697,1.154
41,42,JimmieFoxx,1B,1933,PHA,149,573,125,204,37,9,48,163,96,93,2,2,.356,.449,.703,1.152
42,42,StanMusial,RF,1948,STL,155,611,135,230,46,18,39,131,79,34,7,--,.376,.450,.702,1.152
43,42,AlbertBelle,LF,1994,CLE,106,412,90,147,35,2,36,101,58,71,9,6,.357,.438,.714,1.152
44,45,BabeRuth,RF,1932,NYY,133,457,120,156,13,5,41,137,130,62,2,2,.341,.489,.661,1.150
